Round 1,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
178,NY Rangers,G,Marc-Andre Fleury,75,35,"$7,000,000",,Round 18
179,Washington Capitals,D,Jonas Brodin,72,26,"$4,166,667",,Round 19
180,Winnipeg Jets,G,Thatcher Demko,64,24,"$1,050,000",,Round 20
181,Seattle Kraken,LW,Max Pacioretty,74,31,"$7,000,000",,Round 21
182,Anaheim Ducks,D,Neal Pionk,71,24,"$3,000,000",,Round 22
183,Vegas Golden Knights,D,Rasmus Sandin,60,19,"$894,167",,Round 23
184,Colorado Avalanche,LW/RW,Tyler Bertuzzi,72,25,"$1,400,000",,Round 24
185,Carolina Hurricanes,C/RW,Cody Glass,61,20,"$863,335",,Round 25
186,Detroit Red Wings,C,Dylan Strome,69,22,"$863,333",,Round 26
187,Nashville Predators,D,Noah Dobson,59,20,"$894,170",,
188,Vancouver Canucks,D,Josh Morrissey,69,24,"$3,150,000",,
189,Toronto Maple Leafs,C,Phillip Danault,73,27,"$3,083,333",,
190,St. Louis Blues,C/LW/RW,Roope Hintz,69,23,"$811,667",,
191,Buffalo Sabres,LW/RW,Pavel Buchnevich,70,24,"$3,250,000",,
192,NY Islanders,C/LW,Anthony Beauvillier,70,22,"$1,750,000",,
Round 7,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
193,NY Islanders,D,Connor Murphy,72,26,"$3,850,000",,Round 1
194,Buffalo Sabres,C,Jesperi Kotkaniemi,63,19,"$925,000",,Round 2
195,St. Louis Blues,LW/RW,Dominik Kubalik,67,24,"$925,005",,Round 3
196,Toronto Maple Leafs,RW,Brendan Gallagher,72,27,"$3,750,000",,Round 4
197,Vancouver Canucks,G,Matt Murray,64,25,"$3,750,000",,Round 5
198,Vancouver Canucks,C,Adam Gaudette,63,23,"$916,666",,Round 6
199,Detroit Red Wings,C,Sam Steel,64,22,"$863,333",,Round 7
200,Carolina Hurricanes,RW/LW,Andre Burakovsky,70,25,"$3,250,000",,Round 8
201,Minnesota Wild,RW,Jakob Silfverberg,73,29,"$5,250,000",,Round 9
202,Vegas Golden Knights,C/RW,Drake Batherson,66,21,"$736,666",,Round 10
203,Philadelphia Flyers,C/LW,Adrian Kempe,71,23,"$1,750,000",,Round 11
204,Seattle Kraken,LW/RW,Alex Killorn,75,30,"$4,450,000",,Round 12
205,Winnipeg Jets,C/LW/RW,Nick Schmaltz,68,24,"$5,850,000",,Round 13
206,Washington Capitals,LW,Jaden Schwartz,73,27,"$5,350,000",,Round 14
207,NY Rangers,LW/RW,Mike Hoffman,73,30,"$5,187,500",,Round 15
208,Pittsburgh Penguins,D,Brady Skjei,72,25,"$5,250,000",,Round 16
209,Columbus Blue Jackets,D,Erik Karlsson,75,29,"$11,500,000",,Round 17
210,Minnesota Wild,C,Filip Chytil,65,20,"$894,166",,Round 18
211,Philadelphia Flyers,LW,Rickard Rakell,72,26,"$3,789,444",,Round 19
212,New Jersey Devils,LW/RW,Oliver Bjorkstrand,70,24,"$2,500,000",,Round 20
213,Tampa Bay Lightning,C,Logan Couture,75,30,"$8,000,000",,Round 21
214,Los Angeles Kings,D,Erik Brannstrom,61,20,"$863,333",,Round 22
215,Calgary Flames,D,Mattias Ekholm,74,29,"$3,750,000",,Round 23
216,Montreal Canadiens,C/RW,Jordan Kyrou,59,21,"$758,333",,Round 24
217,Edmonton Oilers,C/RW,Charlie Coyle,72,27,"$3,200,000",,Round 25
218,Ottawa Senators,D,Jeff Petry,75,32,"$5,500,000",,Round 26
219,Chicago Blackhawks,LW/RW,Jesper Bratt,69,21,"$749,167",,
220,San Jose Sharks,LW/RW,Kasperi Kapanen,70,23,"$3,200,000",,
221,Florida Panthers,C,Matt Duchene,72,29,"$8,000,000",,
222,Boston Bruins,LW/RW,Alex Tuch,66,23,"$4,750,000",,
223,Dallas Stars,RW,Tyler Toffoli,72,27,"$4,600,000",,
224,Arizona Coyotes,C,Mikael Backlund,72,30,"$5,350,000",,
Round 8,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
225,Arizona Coyotes,LW,Alex Iafallo,72,26,"$2,425,000",,Round 1
226,Dallas Stars,D,Tyson Barrie,70,28,"$5,500,000",,Round 2
227,Boston Bruins,D,Ethan Bear,68,22,"$720,000",,Round 3
228,Florida Panthers,D,Nikita Zadorov,70,24,"$3,200,000",,Round 4
229,San Jose Sharks,C/RW,Luke Kunin,69,22,"$925,000",,Round 5
230,Chicago Blackhawks,D,Erik Cernak,71,23,"$697,500",,Round 6
231,Ottawa Senators,D,John Marino,67,22,"$925,002",,Round 7
232,Edmonton Oilers,C/LW/RW,Kevin Hayes,73,27,"$7,142,857",,Round 8
233,Montreal Canadiens,LW,Lawson Crouse,69,22,"$1,533,333",,Round 9
234,Calgary Flames,LW,Tomas Tatar,73,29,"$4,800,000",,Round 10
235,Los Angeles Kings,D,Henri Jokiharju,66,20,"$925,000",,Round 11
236,Tampa Bay Lightning,LW/RW,Conor Garland,68,23,"$775,000",,Round 12
237,New Jersey Devils,D,Jonas Siegenthaler,67,22,"$714,166",,Round 13
238,Pittsburgh Penguins,D,Mirco Mueller,68,25,"$1,400,000",,Round 14
239,Colorado Avalanche,C/RW,Dillon Dube,62,21,"$778,333",,Round 15
240,Columbus Blue Jackets,D,Marcus Pettersson,69,23,"$874,125",,Round 16
241,Pittsburgh Penguins,LW/RW,David Perron,73,31,"$4,000,000",,Round 17
242,NY Rangers,LW,Zach Hyman,71,27,"$2,250,000",,Round 18
243,Washington Capitals,C,Ryan Johansen,72,27,"$8,000,000",,Round 19
244,Winnipeg Jets,D,Vince Dunn,64,23,"$722,500",,Round 20
245,Seattle Kraken,C/LW/RW,Blake Coleman,72,28,"$1,800,000",,Round 21
246,Philadelphia Flyers,C/RW,J.T. Compher,70,24,"$3,500,000",,Round 22
247,Winnipeg Jets,D,Dante Fabbro,63,21,"$925,001",,Round 23
248,Minnesota Wild,RW,Kyle Palmieri,73,29,"$4,650,000",,Round 24
249,Carolina Hurricanes,D,Cam Fowler,71,28,"$6,500,000",,Round 25
250,Detroit Red Wings,C/RW,Jack Roslovic,64,23,"$894,166",,Round 26
251,Nashville Predators,D,Rasmus Andersson,67,23,"$755,833",,
252,Vancouver Canucks,D,Dennis Cholowski,63,22,"$894,166",,
253,Toronto Maple Leafs,LW/RW,Jason Zucker,71,28,"$5,500,000",,
254,St. Louis Blues,D,Victor Mete,65,21,"$748,333",,
255,Buffalo Sabres,LW,Oskar Lindblom,69,23,"$925,000",,
256,NY Islanders,G,Petr Mrazek,70,28,"$3,125,000",,
Round 9,,,,,,,,
,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
